ppn,mem,seqlen,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
12,10G,10M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen10M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen10M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen10M/trial1/dup -u 50",0,9264,2179432,192,6,6543764,1393987,4096,99%,0,0,0,0,5.22,51.26,96,0:56.71
12,10G,15M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen15M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen15M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen15M/trial1/dup -u 50",0,14176,3320376,179,8,9622588,2216855,4096,97%,0,0,0,0,10.31,65.50,104,1:17.48
12,10G,20M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen20M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen20M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen20M/trial1/dup -u 50",0,12384,8,83,8,10485696,2640138,4096,98%,0,0,0,0,10.63,35.09,68,0:46.53
12,10G,25M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen25M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen25M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen25M/trial1/dup -u 50",0,9264,8,837,162,10485924,2527855,4096,97%,0,0,0,0,12.18,23.39,216,0:36.48
12,10G,30M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen30M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen30M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen30M/trial1/dup -u 50",0,14400,8,374,85,10485920,2517626,4096,95%,0,0,0,0,13.75,26.80,146,0:42.46
12,10G,35M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen35M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen35M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen35M/trial1/dup -u 50",0,13368,8,1952,13,10485944,2556431,4096,97%,0,0,0,0,15.90,27.55,112,0:44.54
12,10G,40M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen40M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen40M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen40M/trial1/dup -u 50",0,13368,8,142,13,10485940,2582504,4096,96%,0,0,0,0,14.47,27.46,75,0:43.46
12,10G,5M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen5M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem10G/seqlen5M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem10G/seqlen5M/trial1/dup -u 50",0,9264,1046656,64,6,3204744,656119,4096,99%,0,0,0,0,2.55,21.62,69,0:24.29
12,110G,10M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem110G/seqlen10M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem110G/seqlen10M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/seqlen10M/trial1/dup -u 50",0,9264,2179432,154,6,6548248,1390724,4096,97%,0,0,0,0,5.30,50.26,85,0:56.82
12,110G,15M,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem110G/seqlen15M/trial1/no-human-1 -i2 /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/filter-human/ppn12/mem110G/seqlen15M/trial1/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/seqlen15M/trial1/dup -u 50",0,9264,3320376,227,6,9619840,2155851,4096,98%,0,0,0,0,8.48,72.86,94,1:22.84
