,ppn,sizeGB,Y_time
0,11,0.56,841.52
1,11,0.56,828.6700000000001
2,11,0.85,1253.48
3,11,0.85,1244.56
4,11,1.2,1674.9
5,11,1.2,1665.97
6,11,1.5,2076.99
7,11,1.5,2068.35
8,11,1.7,2473.27
9,11,1.7,2459.98
10,11,2.0,2872.17
11,11,2.0,2858.61
12,11,2.3,3356.98
13,11,2.3,3270.41
14,11,0.27,418.52000000000004
15,11,0.27,416.51
16,2,0.56,854.4499999999999
17,2,0.56,855.2
18,2,0.85,1274.14
19,2,0.85,1273.0400000000002
20,2,1.2,1714.64
21,2,1.2,1711.8200000000002
22,2,1.5,2136.25
23,2,1.5,2116.14
24,2,1.7,2509.73
25,2,1.7,2495.68
26,2,2.0,6329.84
27,2,2.0,6267.29
28,2,2.3,3391.35
29,2,2.3,3362.83
30,2,0.27,428.11
31,2,0.27,426.53000000000003
32,5,0.56,867.6700000000001
33,5,0.56,861.08
34,5,0.85,1301.71
35,5,0.85,1291.3899999999999
36,5,1.2,1741.89
37,5,1.2,1728.48
38,5,1.5,2156.88
39,5,1.5,2150.6499999999996
40,5,1.7,2566.7900000000004
41,5,1.7,2537.84
42,5,2.0,2984.39
43,5,2.0,2970.43
44,5,2.3,3428.28
45,5,2.3,3396.63
46,5,0.27,435.69
47,5,0.27,429.17
48,8,0.56,1773.46
49,8,0.56,1768.1799999999998
50,8,0.85,1276.65
51,8,0.85,1268.4
52,8,1.2,1706.37
53,8,1.2,1697.59
54,8,1.5,2125.63
55,8,1.5,2114.3199999999997
56,8,1.7,2513.8799999999997
57,8,1.7,2499.76
58,8,2.0,2942.5299999999997
59,8,2.0,2921.19
60,8,2.3,3373.84
61,8,2.3,3331.77
62,8,0.27,427.76
63,8,0.27,424.7
