,ppn,sizeGB,Y_time
0,11,1.2,45.82
1,11,1.7,67.97
2,11,2.3,98.47
3,11,2.9,120.44
4,11,3.4,141.66
5,11,4.0,164.02
6,11,4.5,204.8
7,11,0.54,21.580000000000002
8,2,1.2,46.36
9,2,1.7,68.75
10,2,2.3,97.49000000000001
11,2,2.9,120.19
12,2,3.4,142.07000000000002
13,2,4.0,166.8
14,2,4.5,204.44
15,2,0.54,21.8
16,5,1.2,45.97
17,5,1.7,68.63
18,5,2.3,98.42
19,5,2.9,121.17
20,5,3.4,141.54000000000002
21,5,4.0,164.88
22,5,4.5,203.5
23,5,0.54,21.63
24,8,1.2,45.94
25,8,1.7,67.96
26,8,2.3,97.83
27,8,2.9,120.67
28,8,3.4,142.31
29,8,4.0,173.64
30,8,4.5,203.98
31,8,0.54,21.6
