ft1=188, ft2=85, ft3=53, ft4=5, ft5=110, ft6=40, ft7=8, ft8=67, ft9=33, ft10=17, ft11=18, ft12=0, ft13=157, ft14=1, ft15=0, ft16=246, ft17=36, ft18=0, ft24=667, ft25=56.87, ft19=16, ft39=0, ft20=53, ft33=5, ft21=499, ft35=29, ft22=138, ft23=0, ft34=150, ft36=25, ft37=0, ft38=0, ft40=9, ft41=117, ft42=0, ft43=16, ft44=8, ft45=2, ft46=42, ft48=28, ft47=43, ft49=110, ft51=35, ft50=1209, ft52=351, ft53=7, ft54=63, ft55=0, ft26=5.16, ft27=24.71, ft28=34, ft29=8, ft30=116, ft31=3, ft32=39
ft1=1980, ft2=905, ft3=668, ft4=57, ft5=1265, ft6=364, ft7=127, ft8=745, ft9=401, ft10=109, ft11=230, ft12=13, ft13=1709, ft14=47, ft15=0, ft16=2749, ft17=467, ft18=0, ft24=7575, ft25=462.87, ft19=392, ft39=0, ft20=668, ft33=57, ft21=6072, ft35=344, ft22=1127, ft23=0, ft34=636, ft36=334, ft37=0, ft38=0, ft40=397, ft41=1020, ft42=16, ft43=347, ft44=165, ft45=81, ft46=1260, ft48=374, ft47=505, ft49=1462, ft51=99, ft50=16549, ft52=2913, ft53=18, ft54=973, ft55=18, ft26=48.02, ft27=153.03, ft28=320, ft29=187, ft30=1249, ft31=12, ft32=495
ft1=222, ft2=86, ft3=121, ft4=0, ft5=174, ft6=27, ft7=17, ft8=72, ft9=92, ft10=4, ft11=23, ft12=0, ft13=213, ft14=5, ft15=0, ft16=332, ft17=70, ft18=0, ft24=1189, ft25=50.27, ft19=297, ft39=0, ft20=121, ft33=0, ft21=769, ft35=98, ft22=111, ft23=8, ft34=248, ft36=122, ft37=0, ft38=0, ft40=6, ft41=133, ft42=9, ft43=273, ft44=70, ft45=134, ft46=258, ft48=61, ft47=124, ft49=245, ft51=0, ft50=2951, ft52=360, ft53=0, ft54=113, ft55=0, ft26=0.69, ft27=6.81, ft28=29, ft29=14, ft30=175, ft31=0, ft32=43
ft1=26, ft2=0, ft3=1, ft4=0, ft5=10, ft6=0, ft7=0, ft8=0, ft9=1, ft10=0, ft11=0, ft12=0, ft13=10, ft14=0, ft15=0, ft16=18, ft17=0, ft18=0, ft24=19, ft25=16.33, ft19=9, ft39=0, ft20=1, ft33=0, ft21=1, ft35=0, ft22=0, ft23=0, ft34=1, ft36=0, ft37=0, ft38=0, ft40=0, ft41=0, ft42=0, ft43=8, ft44=5, ft45=2, ft46=2, ft48=2, ft47=2, ft49=1, ft51=0, ft50=26, ft52=19, ft53=0, ft54=15, ft55=0, ft26=0, ft27=0, ft28=0, ft29=0, ft30=10, ft31=0, ft32=0
ft1=287, ft2=111, ft3=122, ft4=0, ft5=172, ft6=47, ft7=34, ft8=87, ft9=77, ft10=10, ft11=28, ft12=0, ft13=252, ft14=1, ft15=0, ft16=389, ft17=89, ft18=0, ft24=746, ft25=54.55, ft19=26, ft39=2, ft20=122, ft33=0, ft21=579, ft35=7, ft22=33, ft23=0, ft34=14, ft36=4, ft37=0, ft38=0, ft40=68, ft41=31, ft42=0, ft43=21, ft44=8, ft45=2, ft46=162, ft48=27, ft47=48, ft49=47, ft51=0, ft50=1396, ft52=255, ft53=0, ft54=151, ft55=0, ft26=7.52, ft27=30.14, ft28=69, ft29=8, ft30=176, ft31=4, ft32=73
ft1=81, ft2=33, ft3=39, ft4=0, ft5=51, ft6=16, ft7=8, ft8=22, ft9=27, ft10=5, ft11=11, ft12=0, ft13=74, ft14=1, ft15=0, ft16=117, ft17=30, ft18=0, ft24=209, ft25=7.71, ft19=154, ft39=0, ft20=39, ft33=0, ft21=13, ft35=2, ft22=7, ft23=0, ft34=3, ft36=0, ft37=0, ft38=0, ft40=0, ft41=5, ft42=0, ft43=128, ft44=48, ft45=63, ft46=27, ft48=18, ft47=55, ft49=15, ft51=0, ft50=422, ft52=102, ft53=0, ft54=50, ft55=0, ft26=1.32, ft27=7.29, ft28=23, ft29=0, ft30=52, ft31=0, ft32=23
ft1=337, ft2=85, ft3=106, ft4=0, ft5=169, ft6=50, ft7=24, ft8=76, ft9=73, ft10=8, ft11=19, ft12=0, ft13=168, ft14=75, ft15=0, ft16=391, ft17=90, ft18=0, ft24=3531, ft25=877.62, ft19=91, ft39=0, ft20=106, ft33=0, ft21=3287, ft35=223, ft22=567, ft23=0, ft34=676, ft36=111, ft37=0, ft38=0, ft40=49, ft41=338, ft42=4, ft43=58, ft44=37, ft45=25, ft46=199, ft48=2, ft47=233, ft49=281, ft51=136, ft50=7227, ft52=2449, ft53=48, ft54=839, ft55=48, ft26=15.95, ft27=61.15, ft28=46, ft29=14, ft30=183, ft31=13, ft32=47
ft1=896, ft2=401, ft3=365, ft4=0, ft5=533, ft6=229, ft7=50, ft8=295, ft9=218, ft10=75, ft11=141, ft12=0, ft13=795, ft14=17, ft15=0, ft16=1215, ft17=239, ft18=0, ft24=2391, ft25=121.44, ft19=912, ft39=0, ft20=365, ft33=0, ft21=1072, ft35=73, ft22=278, ft23=38, ft34=256, ft36=36, ft37=0, ft38=0, ft40=47, ft41=197, ft42=15, ft43=744, ft44=185, ft45=472, ft46=588, ft48=217, ft47=168, ft49=533, ft51=115, ft50=5079, ft52=1219, ft53=4, ft54=368, ft55=3, ft26=39.76, ft27=90.61, ft28=156, ft29=124, ft30=532, ft31=3, ft32=277
ft1=855, ft2=390, ft3=386, ft4=0, ft5=542, ft6=193, ft7=70, ft8=303, ft9=225, ft10=43, ft11=141, ft12=0, ft13=766, ft14=39, ft15=0, ft16=1212, ft17=255, ft18=0, ft24=3451, ft25=118.53, ft19=959, ft39=0, ft20=386, ft33=0, ft21=2081, ft35=186, ft22=450, ft23=28, ft34=208, ft36=134, ft37=0, ft38=0, ft40=20, ft41=239, ft42=5, ft43=689, ft44=201, ft45=495, ft46=387, ft48=86, ft47=99, ft49=369, ft51=2488, ft50=7055, ft52=1846, ft53=117, ft54=725, ft55=93, ft26=28.68, ft27=42.87, ft28=79, ft29=193, ft30=533, ft31=0, ft32=272
ft1=230, ft2=92, ft3=99, ft4=0, ft5=141, ft6=38, ft7=27, ft8=74, ft9=59, ft10=9, ft11=24, ft12=0, ft13=206, ft14=0, ft15=0, ft16=314, ft17=69, ft18=0, ft24=590, ft25=35.48, ft19=17, ft39=0, ft20=99, ft33=0, ft21=462, ft35=7, ft22=27, ft23=9, ft34=12, ft36=4, ft37=0, ft38=0, ft40=36, ft41=27, ft42=0, ft43=12, ft44=5, ft45=0, ft46=116, ft48=24, ft47=42, ft49=33, ft51=0, ft50=1130, ft52=203, ft53=0, ft54=112, ft55=0, ft26=5.07, ft27=19.08, ft28=53, ft29=8, ft30=145, ft31=1, ft32=60
ft1=26, ft2=0, ft3=1, ft4=0, ft5=10, ft6=0, ft7=0, ft8=0, ft9=1, ft10=0, ft11=0, ft12=0, ft13=10, ft14=0, ft15=0, ft16=18, ft17=0, ft18=0, ft24=19, ft25=16.33, ft19=9, ft39=0, ft20=1, ft33=0, ft21=1, ft35=0, ft22=0, ft23=0, ft34=1, ft36=0, ft37=0, ft38=0, ft40=0, ft41=0, ft42=0, ft43=8, ft44=5, ft45=0, ft46=2, ft48=2, ft47=2, ft49=1, ft51=0, ft50=26, ft52=19, ft53=0, ft54=15, ft55=0, ft26=0, ft27=0, ft28=0, ft29=0, ft30=10, ft31=0, ft32=0
