ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,ajorFaults,axRSS,inorFaults,PageSize,PercentCPU,SignalsDeliv,SocketsgRecv,SocketsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime,SampleName
12,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial1/dup -u 50",0,14176,36702800,3103,8,104982152,23361102,4096,100%,0,0,0,0,111.34,982.33,397,18:13.16,LS002
12,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial1/dup -u 50",0,14176,36702800,2432,8,104980220,23357342,4096,99%,0,0,0,0,145.76,1037.75,441,19:47.16,LS002
12,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial2/dup -u 50",0,14176,36702800,2585,8,104984180,23361111,4096,100%,0,0,0,0,108.59,944.75,376,17:32.84,LS002
12,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial2/dup -u 50",0,12544,36702800,3385,7,104979996,23366281,4096,99%,0,0,0,0,108.42,1053.86,414,19:23.24,LS002
12,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial3/dup -u 50",0,12544,36702800,3374,7,104981536,25480498,4096,98%,0,0,0,0,921.86,976.03,636,32:13.11,LS002
12,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial3/dup -u 50",0,14176,36702792,2889,8,104979688,23360315,4096,99%,0,0,0,0,107.44,1024.13,392,18:52.75,LS002
12,110G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial4/dup -u 50",0,14176,36702800,2014,8,104980224,23358378,4096,99%,0,0,0,0,109.49,920.66,348,17:10.52,LS002
12,110G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem110G/trial5/dup -u 50",0,14176,36702800,2468,8,104979200,23357997,4096,99%,0,0,0,0,116.36,965.32,426,18:02.02,LS002
12,120G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem120G/trial1/dup -u 50",0,14176,36702808,2249,8,104979936,23876999,4096,98%,0,0,0,0,344.71,1021.27,366,23:04.06,LS002
12,120G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn12/mem120G/trial2/dup -u 50",0,12544,36702816,3329,7,104978732,27105963,4096,98%,0,0,0,0,533.07,1757.17,650,38:41.01,LS002
