module,binary,sample,seqlen,inputsize,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,velvetg,LS002,10M,1.56G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,734,3,5451068,626399,4096,100%,0,0,0,0,4.13,670.17,1032,11:13.99
velvet,velvetg,LS002,10M,1.56G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,735,3,5451016,625896,4096,100%,0,0,0,0,4.01,668.98,1042,11:12.69
velvet,velvetg,LS002,10M,1.56G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,736,3,5451012,625393,4096,100%,0,0,0,0,3.99,671.55,1038,11:15.21
velvet,velvetg,LS002,10M,1.56G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896357,742,3,5451016,626405,4096,100%,0,0,0,0,4.08,670.95,1040,11:14.69
velvet,velvetg,LS002,10M,1.56G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896357,749,3,5451012,625896,4096,100%,0,0,0,0,4.26,670.88,1043,11:14.92
velvet,velvetg,LS002,10M,1.56G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,736,3,5451016,625890,4096,100%,0,0,0,0,3.91,664.76,1038,11:08.33
velvet,velvetg,LS002,10M,1.56G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,662,3,5451012,625338,4096,99%,0,0,0,0,3.61,604.37,1006,10:09.13
velvet,velvetg,LS002,10M,1.56G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17412436,1896365,738,3,5451016,625381,4096,100%,0,0,0,0,4.23,671.01,1040,11:14.99
velvet,velvetg,LS002,15M,2.29G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901491,1156,3,7973152,960556,4096,100%,0,0,0,0,6.13,1058.22,1537,17:43.85
velvet,velvetg,LS002,15M,2.29G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901483,1184,3,7973152,960539,4096,100%,0,0,0,0,6.17,1060.15,1517,17:45.82
velvet,velvetg,LS002,15M,2.29G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722572,2901491,1173,3,7973156,960575,4096,100%,0,0,0,0,6.22,1060.58,1557,17:46.38
velvet,velvetg,LS002,15M,2.29G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901491,1194,3,7973152,961098,4096,100%,0,0,0,0,5.92,1061.88,1569,17:47.36
velvet,velvetg,LS002,15M,2.29G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722580,2901491,1170,3,7973156,960555,4096,100%,0,0,0,0,6.04,1059.41,1536,17:45.04
velvet,velvetg,LS002,15M,2.29G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901491,1144,3,7973152,960586,4096,100%,0,0,0,0,5.92,1048.93,1569,17:34.46
velvet,velvetg,LS002,15M,2.29G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901491,1196,3,7973156,960549,4096,100%,0,0,0,0,5.99,1057.80,1530,17:43.37
velvet,velvetg,LS002,15M,2.29G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26722564,2901491,1186,3,7973152,961466,4096,100%,0,0,0,0,6.12,1074.14,1425,17:59.68
velvet,velvetg,LS002,20M,3.15G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36065154,3916611,1615,3,10350304,1292526,4096,100%,0,0,0,0,8.41,1454.71,2090,24:22.57
