module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,10M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767084,1930354,728,3,5560336,638316,4096,99%,0,0,0,0,3.73,636.76,1056,10:41.77
velvet,LS002,10M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930354,755,3,5560336,638328,4096,100%,0,0,0,0,4.05,689.24,1068,11:33.06
velvet,LS002,10M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,803,3,5560340,638311,4096,100%,0,0,0,0,3.95,688.67,1048,11:32.25
velvet,LS002,10M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930354,3246,3,5560384,637856,4096,100%,0,0,0,0,4.31,685.09,1059,11:29.26
velvet,LS002,10M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,728,3,5560336,638301,4096,100%,0,0,0,0,3.66,639.87,1037,10:43.26
velvet,LS002,10M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930354,716,3,5560336,637809,4096,100%,0,0,0,0,3.82,639.28,1055,10:42.89
velvet,LS002,10M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930354,753,3,5560336,637813,4096,100%,0,0,0,0,4.34,690.97,1064,11:35.12
velvet,LS002,10M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,711,3,5560340,637749,4096,99%,0,0,0,0,3.74,635.76,1026,10:40.74
velvet,LS002,10M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,773,3,5560336,637811,4096,100%,0,0,0,0,4.57,693.12,1063,11:37.53
velvet,LS002,10M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767092,1930346,758,3,5560340,637787,4096,100%,0,0,0,0,4.00,691.76,1049,11:35.44
velvet,LS002,10M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,775,3,5560336,637821,4096,100%,0,0,0,0,4.26,687.47,1070,11:31.51
velvet,LS002,10M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,17767068,1930346,722,3,5560340,637281,4096,99%,0,0,0,0,3.76,640.76,1042,10:45.78
