module,binary,sample,seqlen,inputsize,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,velveth,LS002,10M,1.13G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839559,781,2,14101980,3844976,4096,99%,0,0,0,0,9.58,483.17,2419,8:13.25
velvet,velveth,LS002,10M,1.13G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839559,1037,2,14101980,3845492,4096,99%,0,0,0,0,9.68,480.01,2419,8:10.13
velvet,velveth,LS002,10M,1.13G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839559,541,2,14101980,3844983,4096,99%,0,0,0,0,9.53,480.48,2418,8:10.45
velvet,velveth,LS002,10M,1.13G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13867538,4839567,778,2,14101980,3844979,4096,99%,0,0,0,0,9.69,480.74,2364,8:10.99
velvet,velveth,LS002,10M,1.13G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839567,2245,2,14101980,3844980,4096,99%,0,0,0,0,9.61,481.08,2415,8:11.18
velvet,velveth,LS002,10M,1.13G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839559,547,2,14101980,3845490,4096,99%,0,0,0,0,9.23,484.00,2418,8:13.58
velvet,velveth,LS002,10M,1.13G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13861650,4839567,693,2,14101980,3845492,4096,99%,0,0,0,0,8.74,426.31,2417,7:16.53
velvet,velveth,LS002,10M,1.13G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,13872154,4839567,528,2,14101980,3844978,4096,99%,0,0,0,0,9.58,475.34,2444,8:05.53
velvet,velveth,LS002,15M,1.71G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21117930,7507117,924,2,18442124,5126916,4096,99%,0,0,0,0,13.69,790.90,3766,13:26.10
velvet,velveth,LS002,15M,1.71G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21105914,7507109,890,2,18442220,5127948,4096,99%,0,0,0,0,13.24,795.72,3783,13:30.47
velvet,velveth,LS002,15M,1.71G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21120754,7507109,1295,2,18442184,5126917,4096,99%,0,0,0,0,13.57,790.39,3644,13:25.27
velvet,velveth,LS002,15M,1.71G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21105938,7507109,4877,2,18441956,5126912,4096,99%,0,0,0,0,13.13,786.38,3754,13:20.78
velvet,velveth,LS002,15M,1.71G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21105898,7507117,1069,2,18441924,5127427,4096,99%,0,0,0,0,13.48,797.72,3746,13:32.34
velvet,velveth,LS002,15M,1.71G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21112042,7507109,3022,2,18442288,5126926,4096,99%,0,0,0,0,13.08,789.00,3586,13:23.66
velvet,velveth,LS002,15M,1.71G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21126378,7507109,4374,2,18442184,5127429,4096,99%,0,0,0,0,13.67,796.69,3846,13:31.68
velvet,velveth,LS002,15M,1.71G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21132010,7507117,888,2,18441920,5126412,4096,99%,0,0,0,0,13.55,780.25,3832,13:15.17
velvet,velveth,LS002,20M,2.4G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28376574,10204510,1777,2,22248644,6275267,4096,99%,0,0,0,0,16.82,1116.29,5043,18:55.63
velvet,velveth,LS002,20M,2.4G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28356350,10204518,5780,2,22249212,6274775,4096,99%,0,0,0,0,16.66,1113.98,4824,18:53.04
velvet,velveth,LS002,20M,2.4G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28377598,10204518,3287,2,22248608,6275780,4096,99%,0,0,0,0,16.84,1112.46,4463,18:51.47
velvet,velveth,LS002,20M,2.4G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28356350,10204518,2966,2,22249036,6274767,4096,99%,0,0,0,0,16.69,1113.81,5169,18:52.90
velvet,velveth,LS002,20M,2.4G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28356350,10204510,1625,2,22248832,6275272,4096,99%,0,0,0,0,16.62,1120.92,5143,18:59.44
velvet,velveth,LS002,20M,2.4G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28356398,10204510,3004,2,22248696,6274765,4096,99%,0,0,0,0,16.70,1112.76,5138,18:51.41
velvet,velveth,LS002,20M,2.4G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28369406,10204518,1253,2,22248700,6275783,4096,99%,0,0,0,0,16.79,1101.45,4579,18:40.56
velvet,velveth,LS002,20M,2.4G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,28356350,10204510,1452,2,22248972,6274762,4096,99%,0,0,0,0,16.64,1113.01,5160,18:51.33
velvet,velveth,LS002,25M,3.0G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35498636,12862121,2475,2,25706968,7332525,4096,99%,0,0,0,0,20.76,1435.85,6006,24:19.95
velvet,velveth,LS002,25M,3.0G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35463204,12862121,1647,2,25706756,7332010,4096,99%,0,0,0,0,20.56,1442.17,5393,24:25.77
velvet,velveth,LS002,25M,3.0G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35481452,12862129,2237,2,25706748,7332026,4096,99%,0,0,0,0,20.86,1443.05,6607,24:27.41
velvet,velveth,LS002,25M,3.0G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35476588,12862129,5150,2,25705652,7331993,4096,99%,0,0,0,0,18.54,1255.10,5448,21:16.35
velvet,velveth,LS002,25M,3.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35500188,12862121,1808,2,25706700,7332021,4096,99%,0,0,0,0,20.35,1439.78,6505,24:23.34
velvet,velveth,LS002,25M,3.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35466348,12862129,1610,2,25706720,7331503,4096,99%,0,0,0,0,20.17,1438.68,5091,24:21.21
velvet,velveth,LS002,25M,3.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35475052,12862121,2147,2,25706708,7332020,4096,99%,0,0,0,0,20.75,1433.84,6538,24:17.57
velvet,velveth,LS002,25M,3.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,35498092,12862129,3222,2,25706740,7332021,4096,99%,0,0,0,0,19.97,1436.25,6397,24:19.44
velvet,velveth,LS002,30M,3.4G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42091055,15344316,7450,2,28690972,8256505,4096,99%,0,0,0,0,23.87,1735.48,7252,29:24.73
velvet,velveth,LS002,30M,3.4G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42058543,15344308,2537,2,28690968,8257016,4096,99%,0,0,0,0,22.69,1754.69,7894,29:42.54
velvet,velveth,LS002,30M,3.4G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42079535,15344308,2855,2,28690928,8257008,4096,99%,0,0,0,0,23.59,1762.57,6825,29:51.74
velvet,velveth,LS002,30M,3.4G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42068199,15344316,2441,2,28690996,8256501,4096,99%,0,0,0,0,23.46,1741.30,7476,29:29.70
velvet,velveth,LS002,30M,3.4G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42105903,15344316,1924,2,28690304,8257009,4096,99%,0,0,0,0,22.55,1715.43,6294,29:00.74
velvet,velveth,LS002,30M,3.4G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42096359,15344308,2036,2,28690828,8256496,4096,99%,0,0,0,0,23.06,1736.90,8017,29:25.29
velvet,velveth,LS002,30M,3.4G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42110255,15344316,2175,2,28690612,8256503,4096,99%,0,0,0,0,23.31,1742.88,8041,29:31.39
velvet,velveth,LS002,30M,3.4G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,42083375,15344316,1936,2,28690980,8257013,4096,99%,0,0,0,0,23.74,1753.36,7755,29:42.46
velvet,velveth,LS002,35M,4.0G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49112988,18004304,2920,2,31651204,9187875,4096,99%,0,0,0,0,27.32,2056.98,9215,34:51.18
velvet,velveth,LS002,35M,4.0G,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49166748,18004304,3801,2,31651184,9187868,4096,99%,0,0,0,0,26.46,2070.77,9526,35:03.99
velvet,velveth,LS002,35M,4.0G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49160308,18004304,2858,2,31651324,9186370,4096,99%,0,0,0,0,26.47,2081.14,8911,35:15.28
velvet,velveth,LS002,35M,4.0G,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49109148,18004296,7959,2,31651276,9187864,4096,99%,0,0,0,0,26.32,2072.36,9240,35:05.93
velvet,velveth,LS002,35M,4.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49108636,18004296,12222,2,31651264,9187369,4096,99%,0,0,0,0,26.76,2064.00,8452,34:57.93
velvet,velveth,LS002,35M,4.0G,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49142356,18004296,2894,2,31651392,9186347,4096,99%,0,0,0,0,26.96,2087.97,8703,35:22.16
velvet,velveth,LS002,35M,4.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49139612,18004296,2354,2,31651204,9187860,4096,99%,0,0,0,0,26.94,2060.83,7676,34:52.72
velvet,velveth,LS002,35M,4.0G,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,49140892,18004304,2458,2,31651144,9187368,4096,99%,0,0,0,0,26.74,2050.22,9283,34:44.09
