,ppn,sizeGB,Y_time
0,11,1.5703125,45.82
1,11,2.4,67.97
2,11,3.2,98.47
3,11,4.0,120.44
4,11,4.8,141.66
5,11,5.6,164.02
6,11,6.4,204.8
7,11,0.78125,21.580000000000002
8,2,1.5703125,46.36
9,2,2.4,68.75
10,2,3.2,97.49000000000001
11,2,4.0,120.19
12,2,4.8,142.07000000000002
13,2,5.6,166.8
14,2,6.4,204.44
15,2,0.78125,21.8
16,5,1.5703125,45.97
17,5,2.4,68.63
18,5,3.2,98.42
19,5,4.0,121.17
20,5,4.8,141.54000000000002
21,5,5.6,164.88
22,5,6.4,203.5
23,5,0.78125,21.63
24,8,1.5703125,45.94
25,8,2.4,67.96
26,8,3.2,97.83
27,8,4.0,120.67
28,8,4.8,142.31
29,8,5.6,173.64
30,8,6.4,203.98
31,8,0.78125,21.6
