module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,10M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,535,2,14324084,3908311,4096,99%,0,0,0,0,9.04,454.97,2466,7:45.63
velvet,LS002,10M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939325,851,2,14324084,3907280,4096,99%,0,0,0,0,9.50,494.23,2479,8:24.22
velvet,LS002,10M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,564,2,14324084,3907792,4096,99%,0,0,0,0,9.34,495.58,2477,8:25.32
velvet,LS002,10M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,561,2,14324088,3907280,4096,99%,0,0,0,0,9.43,494.02,2482,8:23.85
velvet,LS002,10M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,1258,2,14324084,3908302,4096,99%,0,0,0,0,9.03,451.79,2469,7:41.52
velvet,LS002,10M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,519,2,14324080,3908306,4096,99%,0,0,0,0,9.14,452.92,2466,7:42.86
velvet,LS002,10M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,1047,2,14324084,3907792,4096,99%,0,0,0,0,10.02,494.61,2480,8:25.73
velvet,LS002,10M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,516,2,14324084,3907279,4096,99%,0,0,0,0,8.99,451.35,2466,7:41.83
velvet,LS002,10M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,574,2,14324168,3908301,4096,99%,0,0,0,0,10.23,500.32,2487,8:31.02
velvet,LS002,10M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,550,2,14324080,3907283,4096,99%,0,0,0,0,9.63,496.04,2479,8:26.33
velvet,LS002,10M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,557,2,14324084,3907796,4096,99%,0,0,0,0,9.73,494.72,2476,8:25.05
velvet,LS002,10M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,14143417,4939333,520,2,14324080,3907277,4096,99%,0,0,0,0,8.89,453.88,2467,7:44.33
velvet,LS002,15M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567032,826,2,18584048,5166313,4096,99%,0,0,0,0,12.80,737.48,2414,12:30.66
velvet,LS002,15M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21289936,7567032,1024,2,18584268,5166320,4096,99%,0,0,0,0,13.60,797.15,3823,13:31.92
velvet,LS002,15M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567024,2974,2,18584040,5166309,4096,99%,0,0,0,0,12.29,735.04,3776,12:28.39
velvet,LS002,15M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567032,909,2,18584048,5166824,4096,99%,0,0,0,0,13.15,801.12,3786,13:35.72
velvet,LS002,15M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567024,821,2,18584172,5166312,4096,99%,0,0,0,0,12.25,734.24,3781,12:29.46
velvet,LS002,15M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567032,900,2,18584160,5166322,4096,99%,0,0,0,0,13.51,809.54,3804,13:44.00
velvet,LS002,15M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567032,872,2,18584048,5166312,4096,99%,0,0,0,0,12.98,788.42,3787,13:22.33
velvet,LS002,15M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567024,791,2,18584040,5166316,4096,99%,0,0,0,0,12.48,708.22,3782,12:01.83
velvet,LS002,15M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567024,816,2,18584040,5166320,4096,99%,0,0,0,0,12.32,725.84,3775,12:19.22
velvet,LS002,15M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567024,914,2,18584264,5164786,4096,99%,0,0,0,0,13.46,799.69,3828,13:34.92
velvet,LS002,15M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21277648,7567032,886,2,18584044,5166314,4096,99%,0,0,0,0,13.18,788.41,3789,13:23.15
velvet,LS002,15M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velveth ./outputDir/assembly 55 -shortPaired -separate ./data/uniq-1 ./data/uniq-2",0,21295568,7567032,823,2,18584044,5166314,4096,99%,0,0,0,0,12.28,736.54,3611,12:29.93
