,ppn,sizeGB,Y_time
0,11,2.42,640.49
1,11,2.42,693.29
2,11,2.42,692.62
3,2,2.42,689.4
4,2,2.42,643.53
5,2,2.42,643.1
6,5,2.42,695.3100000000001
7,5,2.42,639.5
8,5,2.42,697.69
9,8,2.42,695.76
10,8,2.42,691.73
11,8,2.42,644.52
12,11,3.7,1000.24
13,11,3.7,1087.87
14,11,3.7,998.65
15,2,3.7,1073.5600000000002
16,2,3.7,1001.19
17,2,3.7,1076.1000000000001
18,5,3.7,1083.5
19,5,3.7,976.5
20,5,3.7,996.4200000000001
21,8,3.7,1080.0
22,8,3.7,1082.1599999999999
23,8,3.7,998.8299999999999
24,11,5.0,1470.8
25,11,5.0,1365.1299999999999
26,11,5.0,1366.43
27,2,5.0,1364.75
28,2,5.0,1466.25
29,2,5.0,1458.1799999999998
30,5,5.0,1472.6
31,5,5.0,1474.68
32,5,5.0,1357.24
33,8,5.0,1688.6599999999999
34,8,5.0,1358.1999999999998
35,8,5.0,1359.5800000000002
36,11,6.3,1722.37
37,11,6.3,1688.1499999999999
38,11,6.3,1868.49
39,2,6.3,1857.77
40,2,6.3,1724.47
41,2,6.3,1727.5900000000001
42,5,6.3,1870.14
43,5,6.3,1881.93
44,5,6.3,1879.75
45,8,6.3,1869.0800000000002
46,8,6.3,1873.73
47,8,6.3,1728.17
48,11,7.6,2270.37
49,11,7.6,2274.86
50,11,7.6,2083.0699999999997
51,2,7.6,2087.18
52,2,7.6,2265.29
53,2,7.6,2543.2400000000002
54,5,7.6,2681.79
55,5,7.6,2271.12
56,5,7.6,2084.72
57,8,7.6,2089.36
58,8,7.6,2096.62
59,8,7.6,2294.56
60,11,8.8,2771.25
61,11,8.8,2450.48
62,11,8.8,2684.27
63,2,8.8,2836.5299999999997
64,2,8.8,2392.6400000000003
65,2,8.8,2659.86
66,5,8.8,2683.2999999999997
67,5,8.8,2675.11
68,5,8.8,2451.8
69,8,8.8,2671.47
70,8,8.8,2674.81
71,8,8.8,2441.6200000000003
72,11,10.1,3085.44
73,11,10.1,3090.73
74,11,10.1,3621.04
75,11,10.1,2844.98
76,2,10.1,2833.87
77,2,10.1,2832.66
78,2,10.1,2832.93
79,5,10.1,3055.04
80,5,10.1,2828.2299999999996
81,5,10.1,3059.3199999999997
82,8,10.1,3200.8199999999997
83,8,10.1,3143.7200000000003
84,8,10.1,3326.93
85,11,1.13,322.13
86,11,1.13,323.21
87,11,1.13,298.64000000000004
88,2,1.13,320.75
89,2,1.13,299.12
90,2,1.13,300.32
91,5,1.13,323.32
92,5,1.13,321.59000000000003
93,5,1.13,298.03
94,8,1.13,297.21000000000004
95,8,1.13,297.65
96,8,1.13,322.27
