,ppn,sizeGB,Y_time
0,11,1.568359375,464.01000000000005
1,11,1.568359375,503.73
2,11,1.568359375,504.91999999999996
3,2,1.568359375,503.45
4,2,1.568359375,460.82
5,2,1.568359375,462.06
6,5,1.568359375,504.63
7,5,1.568359375,460.34000000000003
8,5,1.568359375,510.55
9,8,1.568359375,505.67
10,8,1.568359375,504.45000000000005
11,8,1.568359375,462.77
12,11,2.4,750.28
13,11,2.4,810.75
14,11,2.4,747.3299999999999
15,2,2.4,814.27
16,2,2.4,746.49
17,2,2.4,823.05
18,5,2.4,801.4
19,5,2.4,720.7
20,5,2.4,738.1600000000001
21,8,2.4,813.1500000000001
22,8,2.4,801.5899999999999
23,8,2.4,748.8199999999999
24,11,3.2,1134.6799999999998
25,11,3.2,1036.77
26,11,3.2,1031.47
27,2,3.2,1036.27
28,2,3.2,1141.3200000000002
29,2,3.2,1135.23
30,5,3.2,1139.6100000000001
31,5,3.2,1146.0900000000001
32,5,3.2,1037.18
33,8,3.2,1135.84
34,8,3.2,1018.55
35,8,3.2,1037.79
36,11,4.0,1324.9
37,11,4.0,1273.42
38,11,4.0,1467.78
39,2,4.0,1471.89
40,2,4.0,1333.4199999999998
41,2,4.0,1333.76
42,5,4.0,1459.44
43,5,4.0,1476.76
44,5,4.0,1462.69
45,8,4.0,1467.65
46,8,4.0,1469.66
47,8,4.0,1332.56
48,11,4.8,1780.16
49,11,4.8,1802.26
50,11,4.8,1627.26
51,2,4.8,1634.05
52,2,4.8,1799.4299999999998
53,2,4.8,1801.74
54,5,4.8,1806.17
55,5,4.8,1792.6200000000001
56,5,4.8,1623.8400000000001
57,8,4.8,1637.05
58,8,4.8,1628.58
59,8,4.8,1808.07
60,11,5.6,1944.16
61,11,5.6,1925.99
62,11,5.6,2129.21
63,2,5.6,2125.54
64,2,5.6,1862.39
65,2,5.6,2123.49
66,5,5.6,2142.12
67,5,5.6,2127.71
68,5,5.6,1929.21
69,8,5.6,2106.02
70,8,5.6,2119.1299999999997
71,8,5.6,1959.63
72,11,6.4,2450.37
73,11,6.4,2436.08
74,11,6.4,2453.84
75,11,6.4,2230.04
76,2,6.4,2258.6600000000003
77,2,6.4,2262.5099999999998
78,2,6.4,2241.2200000000003
79,5,6.4,2470.53
80,5,6.4,2239.7299999999996
81,5,6.4,2433.27
82,8,6.4,2478.78
83,8,6.4,2442.4199999999996
84,8,6.4,2457.56
85,11,0.78125,216.58
86,11,0.78125,218.82
87,11,0.78125,199.09
88,2,0.78125,215.55
89,2,0.78125,197.88
90,2,0.78125,198.70999999999998
91,5,0.78125,216.71
92,5,0.78125,214.64
93,5,0.78125,198.45
94,8,0.78125,198.88
95,8,0.78125,198.28
96,8,0.78125,216.12
